Rank,Released Worldwide,Title,Worldwide Box Office,Domestic box officce,International Box Office
"9,548",2021,Gijeok,"$5,654,773",,"$5,654,773"
"9,549",2018,Sangryusahui,"$5,654,305",,"$5,654,305"
"9,550",2016,Ledokol,"$5,653,689",,"$5,653,689"
"9,551",2021,Gold Beak,"$5,652,094",,"$5,652,094"
"9,552",2017,La Villa,"$5,652,066",,"$5,652,066"
"9,553",1990,Hardware,"$5,649,801","$5,649,801",
"9,554",2022,Kyeonggwaneu pi (경관의 피),"$5,648,375",,"$5,648,375"
"9,555",2020,Last Letter,"$5,645,911",,"$5,645,911"
"9,556",2017,The Place,"$5,644,602",,"$5,644,602"
"9,557",2006,Lump of Sugar,"$5,641,862",,"$5,641,862"
"9,558",2007,Neues Vom Wixxer,"$5,641,431",,"$5,641,431"
"9,559",2021,Bei Jing Wan 9 Chao 5 (北京晚9朝5),"$5,640,000",,"$5,640,000"
"9,560",2010,Monsters,"$5,639,730","$237,301","$5,402,429"
"9,561",2018,Inuyashiki,"$5,638,854",,"$5,638,854"
"9,562",2015,Yowamushi Pedal: Spare Bike,"$5,638,352",,"$5,638,352"
"9,563",2019,Penoza: The Final Chapter,"$5,636,719",,"$5,636,719"
"9,564",1993,Batman: Mask of the Phantasm,"$5,635,204","$5,635,204",
"9,565",1993,Swing Kids,"$5,632,086","$5,632,086",
"9,566",2016,The Eagle Huntress,"$5,631,241","$3,168,664","$2,462,577"
"9,567",2021,Bu Lao Qi Shi (不老奇事),"$5,630,000",,"$5,630,000"
"9,568",2023,Daeoebi: Gwonlyeogui Tansaeng (대외비: 권…,"$5,629,480",,"$5,629,480"
"9,569",2015,Ma che bella sorpresa,"$5,626,528",,"$5,626,528"
"9,570",1985,Avenging Angel,"$5,622,787","$5,622,787",
"9,571",2015,The Piper,"$5,622,431",,"$5,622,431"
"9,572",2013,The Frozen Ground,"$5,617,460",,"$5,617,460"
"9,573",2008,Man on Wire,"$5,617,067","$2,962,242","$2,654,825"
"9,574",2011,3D Sex and Zen: Extreme Ecstasy,"$5,610,901","$152,365","$5,458,536"
"9,575",2019,April. May en June,"$5,608,384",,"$5,608,384"
"9,576",2017,¿Cómo Cortar a Tu Patan?,"$5,607,900",,"$5,607,900"
"9,577",2018,El Angel,"$5,604,680","$109,608","$5,495,072"
"9,578",2011,Bbuddah: Hoga Tera Baap,"$5,602,704","$326,011","$5,276,693"
"9,579",1996,Tales from the Crypt Presents: Bordel…,"$5,601,285","$5,601,285",
"9,580",1984,Streets of Fire,"$5,600,000","$5,600,000",
"9,581",1948,Yellow Sky,"$5,600,000","$5,600,000",
"9,582",1983,The Star Chamber,"$5,600,000","$5,600,000",
"9,583",2022,Le Nouveau Jouet,"$5,600,000",,"$5,600,000"
"9,584",2021,12 Mighty Orphans,"$5,599,772","$3,688,723","$1,911,049"
"9,585",2016,Tamara,"$5,595,545",,"$5,595,545"
"9,586",2015,Jiang cuo jiu cuo,"$5,590,000",,"$5,590,000"
"9,587",2023,The Chosen Season 3 Finale,"$5,589,387","$5,525,069","$64,318"
"9,588",2017,Tantei wa bar ni iru 3,"$5,589,299",,"$5,589,299"
"9,589",2023,Waitress: The Musical,"$5,584,967","$5,402,148","$182,819"
"9,590",2023,Infelices para siempre,"$5,584,855",,"$5,584,855"
"9,591",2022,Mira (Мира),"$5,584,177",,"$5,584,177"
"9,592",1993,The Cemetery Club,"$5,583,621","$5,583,621",
"9,593",2017,Urfin Dzhyus I Yego Derevyannyye Soldaty,"$5,582,912",,"$5,582,912"
"9,594",2018,Kursk,"$5,578,259",,"$5,578,259"
